aashtocl,rvindicator,chkey,chaashtokey
A-6,No ,59965160,98067040
A-4,Yes,59965160,98067041
A-7,Yes,59965161,98067042
A-6,Yes,59965162,98067043
A-7,No ,59965162,98067044
A-7,No ,59965163,98067045
A-6,No ,59965163,98067046
A-7,No ,59965164,98067047
A-7,No ,59965165,98067048
A-7,Yes,59965249,98067179
A-7,Yes,59965250,98067180
A-7,No ,59965251,98067181
A-6,Yes,59965251,98067182
A-7,No ,59965252,98067183
A-7,No ,59965253,98067184
A-7,No ,59965254,98067185
A-4,Yes,59965255,98067186
A-6,No ,59965256,98067187
A-4,Yes,59965256,98067188
A-6,No ,59965257,98067189
A-2-4,No ,59965257,98067190
A-4,Yes,59965257,98067191
A-2-4,Yes,59965258,98067192
A-3,No ,59965258,98067193
A-6,No ,59965612,98067708
A-4,No ,59965612,98067709
A-4,No ,59965613,98067710
A-4,No ,59965614,98067711
A-6,No ,59965614,98067712
A-4,Yes,59965615,98067713
A-6,No ,59965615,98067714
A-4,Yes,59965616,98067715
A-6,No ,59965616,98067716
A-7,Yes,59965617,98067717
A-7,Yes,59965618,98067718
A-7,Yes,59965619,98067719
A-6,No ,59965620,98067720
A-4,Yes,59965620,98067721
A-6,No ,59965621,98067722
A-4,Yes,59965621,98067723
A-6,No ,59965622,98067724
A-4,Yes,59965622,98067725
A-6,No ,59965623,98067726
A-4,Yes,59965623,98067727
A-6,Yes,59965625,98067728
A-4,Yes,59965626,98067729
A-6,No ,59965626,98067730
A-2,Yes,59965627,98067731
A-1,Yes,59965628,98067732
A-6,Yes,59966070,98068497
A-7-6,No ,59966070,98068498
A-6,Yes,59966071,98068499
A-6,Yes,59966072,98068500
A-7-6,No ,59966072,98068501
A-1-a,No ,59966073,98068502
A-2-4,Yes,59966073,98068503
A-1-a,No ,59966074,98068504
A-2-4,Yes,59966074,98068505
A-1-a,No ,59966075,98068506
A-1-b,Yes,59966075,98068507
A-2-4,No ,59966075,98068508
A-7-6,No ,59966076,98068509
A-6,Yes,59966076,98068510
A-6,No ,59966077,98068511
A-7-6,Yes,59966077,98068512
A-7-6,No ,59966078,98068513
A-6,Yes,59966078,98068514
A-7-6,No ,59966079,98068515
A-6,Yes,59966079,98068516
A-2-4,Yes,59966080,98068517
A-1-b,No ,59966080,98068518
A-7-5,Yes,59966081,98068519
A-7-5,Yes,59966082,98068520
A-7-6,Yes,59966083,98068521
A-6,No ,59966083,98068522
A-4,Yes,59966084,98068523
A-6,No ,59966085,98068524
A-7-6,Yes,59966085,98068525
A-6,Yes,59966086,98068526
A-7-6,No ,59966086,98068527
A-1-b,Yes,59966087,98068528
A-1-a,No ,59966087,98068529
A-2-4,No ,59966087,98068530
A-1-a,No ,59966088,98068531
A-2-4,No ,59966088,98068532
A-1-b,Yes,59966088,98068533
A-6,Yes,59966089,98068534
A-7-6,No ,59966089,98068535
A-6,No ,59966090,98068536
A-7-6,Yes,59966090,98068537
A-7-5,No ,59966090,98068538
A-6,No ,59966091,98068539
A-7-5,Yes,59966091,98068540
A-7-5,Yes,59966359,98069029
A-7-5,Yes,59966360,98069030
A-7-6,Yes,59966361,98069031
A-7,No ,59966362,98069032
A-6,Yes,59966362,98069033
A-4,No ,59966363,98069034
A-6,Yes,59966363,98069035
A-7-6,Yes,59966364,98069036
A-6,Yes,59966365,98069037
A-7-5,Yes,59966594,98069432
A-7-6,No ,59966594,98069433
A-7-6,Yes,59966595,98069434
A-7-5,No ,59966595,98069435
A-7-6,Yes,59966596,98069436
A-7-6,Yes,59966597,98069437
A-7-6,Yes,59966598,98069438
A-6,No ,59966598,98069439
A-7-5,Yes,59966599,98069440
A-7-6,No ,59966599,98069441
A-7-5,Yes,59966600,98069442
A-7-6,No ,59966600,98069443
A-7-6,Yes,59966601,98069444
A-7-5,No ,59966601,98069445
A-7-6,Yes,59966602,98069446
A-7-6,Yes,59966603,98069447
A-7-6,Yes,59966604,98069448
A-7-6,Yes,59966605,98069449
A-6,No ,59966605,98069450
