rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Loose,,NA,NA,,,,Yes,59966075,6569758
Friable,,NA,NA,,,,Yes,59966076,6569757
Friable,,NA,NA,,,,Yes,59966077,6569759
Friable,,NA,NA,,,,Yes,59966078,6569756
Friable,,NA,NA,,,,Yes,59966079,6569760
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966594,6570099
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966595,6570098
Firm,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966596,6570096
Firm,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966597,6570097
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966598,6570100
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,59966599,6570090
Friable,,NA,NA,Deformable,Slightly sticky,Moderately plastic,Yes,59966600,6570093
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966601,6570092
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966602,6570095
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966603,6570091
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966604,6570089
Friable,,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,59966605,6570094
