texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,59965160,120447187
SICL,No ,Yes,Silty clay loam,59965161,120447188
SICL,No ,No ,Silty clay loam,59965162,120447189
SIL,No ,Yes,Silt loam,59965162,120447190
SICL,No ,No ,Silty clay loam,59965163,120447191
SICL,No ,No ,Silty clay loam,59965164,120447192
SICL,No ,No ,Silty clay loam,59965165,120447193
SIL,No ,No ,Silt loam,59965165,120447194
SICL,No ,Yes,Silty clay loam,59965249,120447321
SICL,No ,Yes,Silty clay loam,59965250,120447322
SIL,No ,No ,Silt loam,59965250,120447323
SICL,No ,Yes,Silty clay loam,59965251,120447324
SICL,No ,Yes,Silty clay loam,59965252,120447325
SIC,No ,No ,Silty clay,59965253,120447326
SICL,No ,No ,Silty clay loam,59965253,120447327
SICL,No ,No ,Silty clay loam,59965254,120447328
SL,No ,Yes,Sandy loam,59965255,120447329
L,No ,No ,Loam,59965255,120447330
L,No ,No ,Loam,59965256,120447331
SL,No ,Yes,Sandy loam,59965256,120447332
FSL,No ,No ,Fine sandy loam,59965257,120447333
SL,No ,Yes,Sandy loam,59965257,120447334
S,No ,Yes,Sand,59965258,120447335
LS,No ,No ,Loamy sand,59965258,120447336
FS,No ,No ,Fine sand,59965258,120447337
SIL,No ,Yes,Silt loam,59965612,120447954
SIL,No ,Yes,Silt loam,59965613,120447955
SICL,No ,No ,Silty clay loam,59965613,120447956
SICL,No ,No ,Silty clay loam,59965614,120447957
SIL,No ,Yes,Silt loam,59965614,120447958
SIL,No ,Yes,Silt loam,59965615,120447959
SIL,No ,Yes,Silt loam,59965616,120447960
SICL,No ,Yes,Silty clay loam,59965617,120447961
SICL,No ,Yes,Silty clay loam,59965618,120447962
CL,No ,No ,Clay loam,59965619,120447963
SIL,No ,No ,Silt loam,59965619,120447964
SICL,No ,Yes,Silty clay loam,59965619,120447965
SIL,No ,Yes,Silt loam,59965620,120447966
SR- SIL SICL,Yes,Yes,Stratified silt loam to silty clay loam,59965621,120447967
SICL,No ,No ,Silty clay loam,59965621,120447968
SIL,No ,No ,Silt loam,59965621,120447969
SR- SIL SICL,Yes,Yes,Stratified silt loam to silty clay loam,59965622,120447970
SICL,No ,No ,Silty clay loam,59965622,120447971
SIL,No ,No ,Silt loam,59965622,120447972
SR- SIL SICL,Yes,Yes,Stratified silt loam to silty clay loam,59965623,120447973
SIL,No ,No ,Silt loam,59965623,120447974
SICL,No ,No ,Silty clay loam,59965623,120447975
VAR,Yes,Yes,Variable,59965624,120447976
L,No ,Yes,Loam,59965625,120447977
L,No ,Yes,Loam,59965626,120447978
SL,No ,Yes,Sandy loam,59965627,120447979
LS,No ,No ,Loamy sand,59965627,120447980
COS,No ,No ,Coarse sand,59965628,120447981
S,No ,Yes,Sand,59965628,120447982
FS,No ,No ,Fine sand,59965628,120447983
SIL,No ,No ,Silt loam,59966070,120448771
L,No ,Yes,Loam,59966070,120448772
SIL,No ,No ,Silt loam,59966071,120448773
L,No ,Yes,Loam,59966071,120448774
SCL,No ,No ,Sandy clay loam,59966072,120448775
L,No ,Yes,Loam,59966072,120448776
S,No ,No ,Sand,59966073,120448777
COS,No ,No ,Coarse sand,59966073,120448778
GR-LCOS,No ,No ,Gravelly loamy coarse sand,59966073,120448779
LS,No ,Yes,Loamy sand,59966073,120448780
LCOS,No ,No ,Loamy coarse sand,59966073,120448781
S,No ,Yes,Sand,59966074,120448782
LS,No ,No ,Loamy sand,59966074,120448783
LCOS,No ,No ,Loamy coarse sand,59966074,120448784
COS,No ,No ,Coarse sand,59966074,120448785
GR-LCOS,No ,No ,Gravelly loamy coarse sand,59966074,120448786
S,No ,No ,Sand,59966075,120448787
GR-S,No ,Yes,Gravelly sand,59966075,120448788
LS,No ,No ,Loamy sand,59966075,120448789
GR-LS,No ,No ,Gravelly loamy sand,59966075,120448790
LCOS,No ,No ,Loamy coarse sand,59966075,120448791
COS,No ,No ,Coarse sand,59966075,120448792
CL,No ,No ,Clay loam,59966076,120448793
SIL,No ,No ,Silt loam,59966076,120448794
SCL,No ,No ,Sandy clay loam,59966076,120448795
L,No ,Yes,Loam,59966076,120448796
CL,No ,No ,Clay loam,59966077,120448797
SIL,No ,No ,Silt loam,59966077,120448798
L,No ,Yes,Loam,59966077,120448799
SICL,No ,No ,Silty clay loam,59966077,120448800
L,No ,Yes,Loam,59966078,120448801
SIL,No ,No ,Silt loam,59966078,120448802
