unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,59965160,112291257
CL-ML,No ,59965160,112291258
CL,Yes,59965161,112291259
CL,Yes,59965162,112291260
CL,Yes,59965249,112291322
CL,Yes,59965250,112291323
OL,No ,59965251,112291324
ML,Yes,59965251,112291325
SC,Yes,59965255,112291326
SC-SM,No ,59965255,112291327
CL,No ,59965255,112291328
CL,No ,59965256,112291329
SC-SM,No ,59965256,112291330
SC,Yes,59965256,112291331
SC-SM,No ,59965257,112291332
SC,Yes,59965257,112291333
SP-SM,No ,59965258,112291334
SM,Yes,59965258,112291335
SC-SM,No ,59965258,112291336
CL,No ,59965612,112291721
CL-ML,No ,59965612,112291722
CL,No ,59965613,112291723
CL-ML,No ,59965613,112291724
SC-SM,No ,59965614,112291725
CL,No ,59965614,112291726
SC,No ,59965614,112291727
CL-ML,No ,59965614,112291728
CL,Yes,59965615,112291729
CL-ML,No ,59965615,112291730
CL-ML,No ,59965616,112291731
CL,Yes,59965616,112291732
CL,Yes,59965617,112291733
CH,No ,59965617,112291734
CH,No ,59965618,112291735
CL,Yes,59965618,112291736
CH,No ,59965619,112291737
CL,Yes,59965619,112291738
CL,Yes,59965620,112291739
CL,Yes,59965621,112291740
CL,Yes,59965622,112291741
CL,Yes,59965623,112291742
CL,Yes,59965625,112291743
CL-ML,No ,59965626,112291744
CL,Yes,59965626,112291745
SC-SM,No ,59965627,112291746
SP-SM,No ,59965627,112291747
SM,Yes,59965627,112291748
SW,No ,59965628,112291749
SP,Yes,59965628,112291750
SP-SM,No ,59965628,112291751
SW-SM,No ,59965628,112291752
ML,No ,59966070,112292405
CL,Yes,59966070,112292406
CL,Yes,59966071,112292407
SC,No ,59966072,112292408
CL,Yes,59966072,112292409
SC-SM,No ,59966073,112292410
SP-SM,No ,59966073,112292411
SM,Yes,59966073,112292412
SP,No ,59966074,112292413
SP-SM,Yes,59966074,112292414
SC-SM,No ,59966074,112292415
SP-SM,Yes,59966075,112292416
SW,No ,59966075,112292417
SC-SM,No ,59966075,112292418
SC,No ,59966076,112292419
CL,Yes,59966076,112292420
ML,Yes,59966077,112292421
MH,No ,59966077,112292422
CL,Yes,59966078,112292423
CL,Yes,59966079,112292424
SP-SM,No ,59966080,112292425
SM,Yes,59966080,112292426
SC-SM,No ,59966080,112292427
MH,Yes,59966081,112292428
MH,Yes,59966082,112292429
CL,Yes,59966083,112292430
CL-ML,Yes,59966084,112292431
SC-SM,No ,59966084,112292432
CH,No ,59966085,112292433
CL,Yes,59966085,112292434
CL,Yes,59966086,112292435
SP-SC,Yes,59966087,112292436
SP-SM,No ,59966087,112292437
SW,No ,59966087,112292438
SP-SC,Yes,59966088,112292439
SP-SM,No ,59966088,112292440
SW,No ,59966088,112292441
CL,Yes,59966089,112292442
SC,No ,59966089,112292443
MH,No ,59966090,112292444
CL,Yes,59966090,112292445
MH,No ,59966091,112292446
ML,Yes,59966091,112292447
CH,No ,59966359,112292889
MH,Yes,59966359,112292890
CH,No ,59966360,112292891
MH,Yes,59966360,112292892
CH,No ,59966361,112292893
ML,Yes,59966361,112292894
CL,Yes,59966362,112292895
CL,Yes,59966363,112292896
CL-ML,No ,59966363,112292897
CL,Yes,59966364,112292898
CL,Yes,59966365,112292899
CH,No ,59966594,112293306
MH,Yes,59966594,112293307
CH,Yes,59966595,112293308
MH,No ,59966595,112293309
CH,Yes,59966596,112293310
CL,No ,59966596,112293311
CL,Yes,59966597,112293312
CH,No ,59966597,112293313
CL,Yes,59966598,112293314
CH,No ,59966598,112293315
MH,Yes,59966599,112293316
OH,No ,59966599,112293317
ML,No ,59966599,112293318
CL,No ,59966600,112293319
OH,No ,59966600,112293320
ML,Yes,59966600,112293321
CL,No ,59966601,112293322
MH,Yes,59966601,112293323
CL,No ,59966602,112293324
CH,Yes,59966602,112293325
CL,No ,59966603,112293326
CH,Yes,59966603,112293327
CL,Yes,59966604,112293328
CL,Yes,59966605,112293329
