cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
20428362,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,0,Not limited,0.219,Somewhat limited,0.219,Somewhat limited,1,Very limited,0,0,0,762498145
20428362,24388,AWM - Irrigation Disposal of Wastewater,1,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.219,Slow water movement,0.219,Slow water movement,1,Slow water movement,0,0,0,762498146
20428362,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0.4,Somewhat limited,0.4,Somewhat limited,0.4,Somewhat limited,1,Very limited,0,0,0,762498147
20428362,235,AWM - Land Application of Municipal Sewage Sludge,1,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498148
20428362,235,AWM - Land Application of Municipal Sewage Sludge,2,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.219,Slow water movement,0.219,Slow water movement,1,Slow water movement,0,0,0,762498149
20428362,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,0,Not limited,0.296,Somewhat limited,0.296,Somewhat limited,1,Very limited,0,0,0,762498150
20428362,205,AWM - Manure and Food Processing Waste,1,10265,Percolation < 2 um/sec to 60 Inches,1,0,Ksat not restrictive,0.296,Slow water movement,0.296,Slow water movement,1,Slow water movement,0,0,0,762498151
20428362,258,AWM - Overland Flow Process Treatment of Wastewater,0,258,AWM - Overland Flow Process Treatment of Wastewater,0,0.4,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498152
20428362,258,AWM - Overland Flow Process Treatment of Wastewater,1,255,Seepage Limitation (1 - 4 um/sec) Surface Layer,1,0,No seepage,1,Seepage,1,Seepage,1,Seepage,0,0,0,762498153
20428362,258,AWM - Overland Flow Process Treatment of Wastewater,2,10909,Flooding  Very Rare/Rare Freq.,1,0.4,Flooding,0.4,Flooding,0.4,Flooding,0.4,Flooding,0,0,0,762498154
20428362,238,AWM - Rapid Infiltration Disposal of Wastewater,0,238,AWM - Rapid Infiltration Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,762498155
20428362,238,AWM - Rapid Infiltration Disposal of Wastewater,1,289,Percolation (10 - 40 um/sec) 0 to 60 Inches,1,1,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,762498156
20428362,254,AWM - Slow Rate Process Treatment of Wastewater,0,254,AWM - Slow Rate Process Treatment of Wastewater,0,0,Not limited,0.152,Somewhat limited,0.152,Somewhat limited,0.944,Somewhat limited,0,0,0,762498157
20428362,254,AWM - Slow Rate Process Treatment of Wastewater,1,251,Percolation (.4 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.152,Slow water movement,0.152,Slow water movement,0.944,Slow water movement,0,0,0,762498158
20428362,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",0,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",0,0.3,Somewhat limited,0.3,Somewhat limited,0.3,Somewhat limited,0.3,Somewhat limited,0,0,0,762498159
20428362,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",1,63698,Flooding  Very Rare/Rare Freq/Occas.,1,0.3,Flooding,0.3,Flooding,0.3,Flooding,0.3,Flooding,0,0,0,762498160
