monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935281
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935282
6,June,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935283
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935284
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935285
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935286
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935287
9,September,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935288
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935289
2,February,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935290
5,May,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935291
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935292
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935293
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935294
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935295
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935296
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935297
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935298
2,February,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935299
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935300
