pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,,silty,Alluvium,,14889710,20985386
NA,,silty,Alluvium,,14889711,20985387
NA,,silty,Alluvium,,14889740,20985416
NA,,,Alluvium,,14889741,20985417
NA,,sandy,Outwash,,14889742,20985418
NA,Silty,,Alluvium,,14889845,20985536
NA,,silty,Alluvium,,14889846,20985537
NA,,silty,Alluvium,,14889847,20985538
NA,,,Alluvium,,14889848,20985539
NA,,,Alluvium,,14889849,20985540
1,Loamy,,Alluvium,,14889926,20985620
2,Sandy and gravelly,,Alluvium,,14889926,20985621
2,Sandy and gravelly,,Alluvium,,14889927,20985622
1,Loamy,,Alluvium,,14889927,20985623
1,Loamy,,Alluvium,,14889928,20985624
2,Sandy and gravelly,,Alluvium,,14889928,20985625
1,Loamy,,Alluvium,,14889929,20985626
2,Sandy and gravelly,,Alluvium,,14889929,20985627
1,,,Alluvium,,14890000,20985703
1,,,Alluvium,,14890001,20985704
NA,,silty clay loam,Alluvium,,14890045,20985749
NA,,silty clay loam,Alluvium,,14890046,20985750
