wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,20428362,107624571
NA,12,NA,PIST,Pinus strobus,eastern white pine,20428362,107624572
NA,11,NA,BENI,Betula nigra,river birch,20428362,107624573
NA,11,NA,QUBI,Quercus bicolor,swamp white oak,20428362,107624574
NA,10,NA,ACSA2,Acer saccharinum,silver maple,20428362,107624575
NA,10,NA,JUNI,Juglans nigra,black walnut,20428362,107624576
NA,10,NA,QUMU,Quercus muehlenbergii,chinkapin oak,20428362,107624577
NA,10,NA,QURU,Quercus rubra,northern red oak,20428362,107624578
NA,10,NA,QUVE,Quercus velutina,black oak,20428362,107624579
NA,10,NA,TIAM,Tilia americana,American basswood,20428362,107624580
NA,9,NA,ASTR,Asimina triloba,common pawpaw,20428362,107624581
NA,9,NA,PIAB,Picea abies,Norway spruce,20428362,107624582
NA,8,NA,ACSA3,Acer saccharum,sugar maple,20428362,107624583
NA,8,NA,CAOV2,Carya ovata,shagbark hickory,20428362,107624584
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,20428362,107624585
NA,8,NA,FRAM2,Fraxinus americana,white ash,20428362,107624586
NA,8,NA,FRNI,Fraxinus nigra,black ash,20428362,107624587
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,20428362,107624588
NA,8,NA,JUVI,Juniperus virginiana,eastern redcedar,20428362,107624589
NA,6,NA,ABCO,Abies concolor,white fir,20428362,107624590
NA,6,NA,JUCI,Juglans cinerea,Butternut,20428362,107624591
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,20428362,107624592
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,20428362,107624593
NA,6,NA,MALUS,Malus,Midwest Crabapple,20428362,107624594
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,20428362,107624595
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,20428362,107624596
