soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,61,92,122,,213931825,134411442
61,92,122,183,183,183,Wet,213931825,134411443
0,0,0,61,92,122,,213931826,134411444
61,92,122,183,183,183,Wet,213931826,134411445
0,0,0,61,92,122,,213931827,134411446
61,92,122,183,183,183,Wet,213931827,134411447
0,0,0,61,92,122,,213931828,134411448
61,92,122,183,183,183,Wet,213931828,134411449
0,0,0,61,92,122,,213931829,134411450
61,92,122,183,183,183,Wet,213931829,134411451
0,0,0,61,92,122,,213931830,134411452
61,92,122,183,183,183,Wet,213931830,134411453
0,0,0,61,92,122,,213931831,134411454
61,92,122,183,183,183,Wet,213931831,134411455
0,0,0,61,92,122,,213931835,134411456
61,92,122,183,183,183,Wet,213931835,134411457
0,0,0,61,92,122,,213931836,134411458
61,92,122,183,183,183,Wet,213931836,134411459
0,0,0,91,91,168,Moist,213932173,134411843
91,91,168,203,203,203,Wet,213932173,134411844
0,0,0,76,76,152,Moist,213932174,134411845
76,76,152,203,203,203,Wet,213932174,134411846
0,0,0,46,46,122,Moist,213932175,134411847
46,46,122,203,203,203,Wet,213932175,134411848
0,0,0,30,30,107,Moist,213932176,134411849
30,30,107,203,203,203,Wet,213932176,134411850
0,0,0,46,46,122,Moist,213932177,134411851
46,46,122,203,203,203,Wet,213932177,134411852
0,0,0,61,61,137,Moist,213932178,134411853
61,61,137,203,203,203,Wet,213932178,134411854
0,0,0,91,91,168,Moist,213932179,134411855
91,91,168,203,203,203,Wet,213932179,134411856
0,0,0,107,107,183,Moist,213932180,134411857
107,107,183,203,203,203,Wet,213932180,134411858
0,0,0,122,122,198,Moist,213932181,134411859
122,122,198,203,203,203,Wet,213932181,134411860
0,0,0,107,107,183,Moist,213932182,134411861
107,107,183,203,203,203,Wet,213932182,134411862
0,0,0,76,76,152,Moist,213932183,134411863
76,76,152,203,203,203,Wet,213932183,134411864
0,0,0,91,91,168,Moist,213932184,134411865
91,91,168,203,203,203,Wet,213932184,134411866
0,0,0,0,15,30,,213932185,134411867
0,15,30,183,183,183,Wet,213932185,134411868
0,0,0,0,15,30,,213932186,134411869
0,15,30,183,183,183,Wet,213932186,134411870
0,0,0,0,15,30,,213932187,134411871
0,15,30,183,183,183,Wet,213932187,134411872
0,0,0,0,15,30,,213932188,134411873
0,15,30,183,183,183,Wet,213932188,134411874
0,0,0,0,15,30,,213932189,134411875
0,15,30,183,183,183,Wet,213932189,134411876
0,0,0,0,15,30,,213932192,134411877
0,15,30,183,183,183,Wet,213932192,134411878
0,0,0,0,15,30,,213932193,134411879
0,15,30,183,183,183,Wet,213932193,134411880
0,0,0,0,15,30,,213932194,134411881
0,15,30,183,183,183,Wet,213932194,134411882
0,0,0,0,15,30,,213932195,134411883
0,15,30,183,183,183,Wet,213932195,134411884
0,0,0,30,61,91,,213932197,134411885
30,61,91,183,183,183,Wet,213932197,134411886
0,0,0,30,61,91,,213932200,134411887
30,61,91,183,183,183,Wet,213932200,134411888
0,0,0,30,61,91,,213932201,134411889
30,61,91,183,183,183,Wet,213932201,134411890
0,0,0,30,61,91,,213932206,134411891
30,61,91,183,183,183,Wet,213932206,134411892
0,0,0,91,91,168,Moist,213933469,134413651
91,91,168,203,203,203,Wet,213933469,134413652
0,0,0,91,91,168,Moist,213933470,134413653
91,91,168,203,203,203,Wet,213933470,134413654
0,0,0,76,76,152,Moist,213933471,134413655
76,76,152,203,203,203,Wet,213933471,134413656
46,46,122,203,203,203,Wet,213933472,134413657
0,0,0,46,46,122,Moist,213933472,134413658
0,0,0,30,30,107,Moist,213933473,134413659
30,30,107,203,203,203,Wet,213933473,134413660
0,0,0,46,46,122,Moist,213933474,134413661
46,46,122,203,203,203,Wet,213933474,134413662
0,0,0,61,61,137,Moist,213933475,134413663
61,61,137,203,203,203,Wet,213933475,134413664
91,91,168,203,203,203,Wet,213933476,134413665
0,0,0,91,91,168,Moist,213933476,134413666
0,0,0,107,107,183,Moist,213933477,134413667
107,107,183,203,203,203,Wet,213933477,134413668
0,0,0,122,122,198,Moist,213933478,134413669
122,122,198,203,203,203,Wet,213933478,134413670
107,107,183,203,203,203,Wet,213933479,134413671
0,0,0,107,107,183,Moist,213933479,134413672
0,0,0,76,76,152,Moist,213933480,134413673
76,76,152,203,203,203,Wet,213933480,134413674
0,0,0,61,61,107,Moist,213933481,134413675
61,61,107,203,203,203,Wet,213933481,134413676
0,0,0,61,61,107,Moist,213933482,134413677
61,61,107,203,203,203,Wet,213933482,134413678
46,46,91,203,203,203,Wet,213933483,134413679
0,0,0,46,46,91,Moist,213933483,134413680
15,15,61,203,203,203,Wet,213933484,134413681
0,0,0,15,15,61,Moist,213933484,134413682
0,0,30,203,203,203,Wet,213933485,134413683
0,0,0,0,0,30,Moist,213933485,134413684
15,15,61,203,203,203,Wet,213933486,134413685
0,0,0,15,15,61,Moist,213933486,134413686
30,30,61,203,203,203,Wet,213933487,134413687
