shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Convex,31389490,18350202
Linear,Linear,31389491,18350203
Linear,Linear,31389493,18350205
Linear,Linear,31389494,18350206
Linear,Linear,31389495,18350207
Concave,Concave,31389505,18350217
Linear,Linear,31389506,18350218
Convex,Linear,31389515,18350227
Linear,Linear,31389516,18350228
Linear,Linear,31389538,18350252
Linear,Linear,31389539,18350253
Concave,Concave,31389541,18350255
Concave,Concave,31389543,18350257
Linear,Linear,31389569,18350279
Linear,Linear,31389570,18350280
Linear,Linear,31389572,18350281
Linear,Linear,31389573,18350282
Linear,Convex,31389574,18350283
Linear,Linear,31389580,18350288
Linear,Convex,31389791,18350515
Linear,Linear,31389792,18350516
Linear,Linear,31389839,18350523
Linear,Linear,31389840,18350524
Linear,Linear,31389841,18350525
Linear,Linear,31389842,18350526
Linear,Linear,31389861,18350545
Linear,Linear,31389871,18350553
Linear,Linear,31389872,18350554
