areaovacres,lareaovkey,mukey,muareaovkey
3699,467333,407598,27710805
3699,467334,407598,27710806
3699,467335,407598,27710807
3699,467337,407598,27710808
3699,467338,407598,27710809
11244,467333,407666,27710740
11244,467334,407666,27710741
11244,467336,407666,27710742
11244,467337,407666,27710743
11244,467338,407666,27710744
1893,467333,407686,27711120
1893,467334,407686,27711121
1893,467336,407686,27711122
1893,467337,407686,27711123
1893,467338,407686,27711124
6046,467333,407700,27711155
6046,467334,407700,27711156
6046,467336,407700,27711157
6046,467337,407700,27711158
6046,467338,407700,27711159
2692,467333,2424464,27711295
2692,467334,2424464,27711296
2692,467336,2424464,27711297
2692,467337,2424464,27711298
2692,467338,2424464,27711299
3881,467333,2506531,27711260
3881,467334,2506531,27711261
3881,467336,2506531,27711262
3881,467337,2506531,27711263
3881,467338,2506531,27711264
